45_d500_102_0_badger_2017-08-01,45_d500_102_1_badger_2020-02-01,45_d500_103_1_badger_2020-02-01,45_d500_106_752_0_badger_2020-02-01,45_d500_109_849_0_badger_2020-02-01,45_d500_115_0_badger_2020-02-01,45_d500_123_762_0_badger_2019-06-01,45_d500_123_762_1_badger_2018-11-01,45_d500_132_808_0_badger_2014-07-01,45_d500_132_811_1_badger_2020-02-01,45_d500_132_811_3_badger_2020-02-01,45_d500_151_0_badger_2013-09-01,45_d500_159_855_0_badger_2019-06-01,45_d500_180_0_badger_2016-07-01,45_d500_182_0_badger_2020-02-01,45_d500_184_0_badger_2019-06-01,45_d500_184_1_badger_2016-08-01,45_d500_261_0_badger_2016-09-01,45_d500_68_627_0_badger_2016-05-01,45_d500_68_627_1_badger_2018-05-01,45_d500_78_668_0_badger_2016-07-01,45_d500_94_1_badger_2016-11-01,45_d500_99_766_0_badger_2014-11-01,45_d500_99_839_0_badger_2013-08-01,45_d500_99_839_1_badger_2013-09-01,45_d500_99_839_2_badger_2017-06-01,56_d500_15_0_badger_2017-07-01,56_d500_15_1_badger_2020-02-01,56_d500_15_2_badger_2020-02-01,56_d500_22_0_badger_2020-02-01,56_d500_40_0_badger_2019-05-01,64025001_0_cattle_2018-05-01,64025001_10_cattle_2018-01-01,64025001_11_cattle_2018-01-01,64025001_12_cattle_2018-05-01,64025001_13_cattle_2018-05-01,64025001_14_cattle_2018-05-01,64025001_15_cattle_2018-05-01,64025001_16_cattle_2018-05-01,64025001_17_cattle_2018-05-01,64025001_18_cattle_2018-08-01,64025001_19_cattle_2019-02-01,64025001_1_cattle_2018-05-01,64025001_20_cattle_2020-02-01,64025001_21_cattle_2020-02-01,64025001_22_cattle_2019-11-01,64025001_2_cattle_2018-05-01,64025001_3_cattle_2018-01-01,64025001_4_cattle_2018-01-01,64025001_5_cattle_2018-08-01,64025001_6_cattle_2018-05-01,64025001_7_cattle_2018-01-01,64025001_8_cattle_2018-01-01,64025001_9_cattle_2018-01-01,64025031_0_cattle_2016-04-01,64025031_10_cattle_2017-02-01,64025031_11_cattle_2017-05-01,64025031_12_cattle_2017-05-01,64025031_13_cattle_2017-05-01,64025031_14_cattle_2017-11-01,64025031_15_cattle_2018-08-01,64025031_16_cattle_2020-02-01,64025031_17_cattle_2020-02-01,64025031_18_cattle_2020-02-01,64025031_1_cattle_2016-04-01,64025031_2_cattle_2016-08-01,64025031_3_cattle_2017-05-01,64025031_4_cattle_2017-05-01,64025031_5_cattle_2017-05-01,64025031_6_cattle_2017-05-01,64025031_7_cattle_2017-05-01,64025031_8_cattle_2017-05-01,64025031_9_cattle_2017-05-01,64025_0_boar_2020-02-01,64025_1_boar_2020-02-01,64025_2_boar_2019-08-01,64025_3_boar_2020-02-01,64095041_2_cattle_2020-02-01,64178007_0_cattle_2019-04-01,64178_1_boar_2018-11-01,64186001_0_cattle_2020-02-01,64186034_0_cattle_2018-03-01,64186034_1_cattle_2017-03-01,64186034_2_cattle_2018-03-01,64186034_3_cattle_2018-03-01,64186034_4_cattle_2018-03-01,64186034_5_cattle_2018-03-01,64186034_6_cattle_2018-05-01,64186_1_boar_2020-02-01,64244024_0_cattle_2020-02-01,64244024_1_cattle_2020-02-01,64244024_2_cattle_2020-02-01,64244024_3_cattle_2019-12-01,64244024_4_cattle_2020-02-01,64244024_5_cattle_2020-02-01,64281003_0_cattle_2020-02-01,64281008_0_cattle_2020-02-01,64301064_0_cattle_2020-02-01,64301067_0_cattle_2018-01-01,64301067_1_cattle_2018-01-01,64301067_2_cattle_2018-01-01,64301083_0_cattle_2017-12-01,64301083_1_cattle_2017-12-01,64301083_2_cattle_2017-12-01,64301083_3_cattle_2017-12-01,64301083_4_cattle_2017-12-01,64301083_5_cattle_2018-02-01,64301083_6_cattle_2017-12-01,64301083_7_cattle_2018-02-01,64301083_8_cattle_2018-02-01,64301083_9_cattle_2020-02-01,64306004_1_cattle_2017-03-01,64306004_2_cattle_2017-03-01,64306004_3_cattle_2017-05-01,64306004_4_cattle_2017-03-01,64306004_5_cattle_2017-05-01,64306004_6_cattle_2017-03-01,64306004_7_cattle_2017-03-01,64306004_8_cattle_2017-03-01,64306008_0_cattle_2015-04-01,64306008_10_cattle_2015-05-01,64306008_11_cattle_2020-02-01,64306008_1_cattle_2015-05-01,64306008_2_cattle_2015-05-01,64306008_3_cattle_2015-05-01,64306008_4_cattle_2015-05-01,64306008_5_cattle_2015-05-01,64306008_6_cattle_2015-05-01,64306008_7_cattle_2015-05-01,64306008_8_cattle_2015-05-01,64306008_9_cattle_2015-05-01,64306052_0_cattle_2015-04-01,64306_0_boar_2014-01-01,64306_1_boar_2020-02-01,64306_2_boar_2019-07-01,64306_3_boar_2016-05-01,64359001_0_cattle_2014-03-01,64359031_7_cattle_2019-02-01,64359075_2_cattle_2017-01-01,64359075_4_cattle_2017-01-01,64359107_4_cattle_2019-05-01,64359138_13_cattle_2018-03-01,64359169_1_cattle_2016-05-01,64359209_10_cattle_2018-12-01,64359_32_boar_2016-01-01,64359_46_boar_2019-01-01,64410_1_boar_2019-01-01,64410_2_boar_2020-02-01,64410_4_boar_2020-02-01,64416020_0_cattle_2018-04-01,64416020_1_cattle_2017-07-01,64416020_2_cattle_2018-02-01,64416020_3_cattle_2018-04-01,64416020_4_cattle_2018-06-01,64416020_5_cattle_2018-04-01,64416031_0_cattle_2017-05-01,64416031_1_cattle_2017-05-01,64416031_2_cattle_2017-05-01,64416031_3_cattle_2017-05-01,64416031_4_cattle_2017-07-01,64416031_5_cattle_2017-05-01,64416031_6_cattle_2017-05-01,64416_4_boar_2019-10-01,64416_5_boar_2019-07-01,64416_6_boar_2020-02-01,64420012_0_cattle_2014-03-01,64420012_1_cattle_2014-03-01,64420012_2_cattle_2014-03-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420035_10_cattle_2012-02-01,64420035_11_cattle_2012-04-01,64420035_12_cattle_2012-04-01,64420035_13_cattle_2012-02-01,64420035_14_cattle_2012-02-01,64420035_15_cattle_2012-02-01,64420035_16_cattle_2012-04-01,64420035_17_cattle_2012-04-01,64420035_18_cattle_2012-02-01,64420035_19_cattle_2012-04-01,64420035_20_cattle_2012-04-01,64420035_21_cattle_2012-02-01,64420035_22_cattle_2012-04-01,64420035_23_cattle_2012-04-01,64420035_24_cattle_2012-04-01,64420035_25_cattle_2012-04-01,64420035_26_cattle_2012-04-01,64420035_27_cattle_2013-02-01,64420035_28_cattle_2013-04-01,64420035_33_cattle_2017-03-01,64420035_34_cattle_2017-05-01,64420035_35_cattle_2018-12-01,64420035_36_cattle_2019-02-01,64555005_0_cattle_2018-03-01,64555005_1_cattle_2018-05-01,64555005_2_cattle_2018-05-01,64555005_3_cattle_2018-05-01,64556001_0_cattle_2015-02-01,64556001_7_cattle_2019-01-01,64556002_0_cattle_2015-03-01,64556002_2_cattle_2016-01-01,64556005_0_cattle_2015-01-01,64556005_10_cattle_2018-04-01,64556005_12_cattle_2020-02-01,64556005_13_cattle_2020-02-01,64556005_1_cattle_2015-04-01,64556005_2_cattle_2015-02-01,64556005_3_cattle_2015-02-01,64556005_4_cattle_2015-02-01,64556005_5_cattle_2015-04-01,64556005_6_cattle_2015-06-01,64556005_7_cattle_2016-12-01,64556005_8_cattle_2016-12-01,64556005_9_cattle_2018-02-01,64556019_1_cattle_2016-12-01,64556019_2_cattle_2018-02-01,64556019_3_cattle_2018-02-01,64556019_4_cattle_2018-02-01,64556034_0_cattle_2015-02-01,64556034_2_cattle_2017-02-01,64556034_3_cattle_2017-02-01,64556039_0_cattle_2014-01-01,64556039_10_cattle_2020-02-01,64556039_11_cattle_2020-02-01,64556039_12_cattle_2020-02-01,64556039_1_cattle_2014-03-01,64556039_2_cattle_2017-01-01,64556039_3_cattle_2016-05-01,64556039_4_cattle_2017-01-01,64556039_5_cattle_2017-01-01,64556039_8_cattle_2019-08-01,64556051_13_cattle_2017-02-01,64556051_8_cattle_2017-04-01,64556058_0_cattle_2019-07-01,64556058_10_cattle_2019-07-01,64556058_1_cattle_2018-01-01,64556058_2_cattle_2018-01-01,64556058_3_cattle_2018-03-01,64556058_4_cattle_2019-03-01,64556058_5_cattle_2019-03-01,64556058_6_cattle_2019-07-01,64556058_7_cattle_2019-03-01,64556058_8_cattle_2019-07-01,64556058_9_cattle_2019-07-01,64556500_0_cattle_2013-04-01,64556_0_boar_2015-08-01,64556_10_boar_2016-11-01,64556_12_boar_2017-03-01,64556_15_boar_2019-01-01,64556_16_boar_2019-12-01,64556_19_boar_2018-08-01,64556_1_boar_2013-10-01,64556_22_boar_2019-06-01,64556_3_boar_2017-09-01,6_d500_21_0_badger_2019-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09058188362327602,0,0,0.19796040791842032,0,0.19576084783043785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0,0,0.00519896020795841,0,0.006998600279944014,0,0,0,0,0,0.01099780043991201,0.003399320135972806,0,9.998000399920016e-4,0.001399720055988802,0.002199560087982403,0.011597680463907209,0.0019996000799840027,0.0037992401519696068,0.005998800239952012,0.008198360327934416,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.0015996800639872023,0,0,0,0.3783243351329652,0,0,0,0,0.0049990001999600095,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,5.998800239952009e-4,0,0.0027994401119776045,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.09438112377524574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05078984203159353,0,0,0.006598680263947213,0.0157968406318736,0,0.07838432313537322,0,0,0,0,0,0.09498100379924096,1.999600079984003e-4,0,0.0031993601279744054,0.007798440311937616,0.04439112177564474,0.03699260147970396,0.057188562287542315,0.04399120175964794,0.027194561087782378,0.037792441511697555,0.029594081183763173,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029794041191761572,0.06358728254349114,0,0,0,0.05818836232753431,0,0,0,0,0.06938612277544493,0.07818436312737481,0,0,0,0,0,0,0,0,0,0,0.018596280743851196,0,0,0,0.006198760247950412,0.01099780043991201,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.07378524295140987,0,0.0045990801839632086,0,0.0045990801839632086,0,0,0,1.999600079984003e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07598480303939234,0,0,0,0,0,0.07638472305538915,0,0.0809838032393525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07618476304739075,0,0.1453709258148394,0,0.002999400119976005,0.011797640471905608,0,0,0,0.022995400919815986,0.08958208358328398,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018796240751849595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0.0015996800639872023,0.052189562087582325,0.06038792241551671,9.998000399920016e-4,0,0.005798840231953611,1.999600079984003e-4,0,0,0,0,0,0,0,0.048190361927614334,0,0.012997400519896006,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.001399720055988802,0,0,0,0,0.249950009998006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42611477704457773,0,0,0.24795040991802195,0,0,0,0,0.4245150969805907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.012397520495900807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0.009798040391921612,0,0.002999400119976005,0.6250749850029647,0,0,0,0,0,0,0,0.002999400119976005,3.999200159968006e-4,0,0.002599480103979204,0.0017996400719856025,0.0027994401119776045,0.009598080383923213,0.001399720055988802,0.00519896020795841,0.0017996400719856025,0.00519896020795841,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0.004399120175964808,0.006398720255948813,0,0,0,0.007398520295940815,0,0,0,0,0.005598880223955211,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,1.999600079984003e-4,0.0011997600479904018,0,5.998800239952009e-4,0,0,0,0,0,0.007198560287942414,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22255548890222432,0,0,0.5076984603079163,0,0,0.2309538092381574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12457508498300512,0,0,0,0,0,0,0,0,0,0,0,0,0.7492501499699579,0,0,0,0,0,0,0,0,0,0,0,0,0.13817236552689677,0.07918416316736684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37132573485302195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046790641871625537,0,0,0,0,0,0,0,0,0,0.08858228354329195,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.0015996800639872023,0.0017996400719856025,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0.20155968806239163,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.07518496300739871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03999200159967995,0.06058788242351511,0,0.009398120375924813,0.032993401319735965,0,0.047990401919615934,0,0,0,0,0,0,0.0027994401119776045,0,0.001399720055988802,0.0049990001999600095,0.023795240951809585,0.04379124175164954,0.033193361327734365,0.03519296140771836,0.006598680263947213,0.02139572085582879,0.03139372125574877,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0.004199160167966408,0.004199160167966408,0.004199160167966408,0.022595480903819187,0.06758648270345927,0,0,0,0.03019396120775837,0,0,0,0,0.052589482103579124,0.061787642471505505,0,0,0,0,0,0,0,0,0,0,0.007798440311937616,0.005798840231953611,0,0,0.004199160167966408,0.007198560287942414,0,0,0.001399720055988802,7.998400319936012e-4,0,0,0,0,0,0.0625874825034991,0,3.999200159968006e-4,0,0.00519896020795841,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10377924415117085,0,0,0,0,0,0,0,0.1237752449510115,0,0,0,0,7.998400319936012e-4,0,0,0,0.011997600479904008,0.025194961007798382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0.029594081183763173,0.022795440911817587,0.00539892021595681,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.05498900219955992,0,0.005998800239952012,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052389522095580725,0,0,0.012997400519896006,9.998000399920016e-4,0,0.10497900419916129,0,0.051989602079583926,0,0,0,0,0,0,0,0.037792441511697555,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033793241351729564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0.11517696460708002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
